Zygote
Gastrula
Ectoderm
Endoderm
Mesoderm
Adipose - Subcutaneous
Adrenal Gland
Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)
Brain - Cortex
Whole Blood
Breast - Mammary Tissue
Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere
Brain - Cerebellum
Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)
Brain - Frontal Cortex (BA9)
Adipose - Visceral (Omentum)
Heart - Atrial Appendage
Heart - Left Ventricle
Brain - Hippocampus
Brain - Hypothalamus
Small Intestine - Terminal Ileum
Kidney - Cortex
Liver
Lung
Nerve - Tibial
Brain - Nucleus accumbens (basal ganglia)
Pancreas
Brain - Putamen (basal ganglia)
Colon - Sigmoid
Muscle - Skeletal
Brain - Spinal cord (cervical c-1)
Stomach
Brain - Substantia nigra
Thyroid
Colon - Transverse
Minor Salivary Gland
Artery - Coronary
Artery - Aorta
Artery - Tibial
Esophagus - Muscularis
Esophagus - Mucosa
Esophagus - Gastroesophageal Junction
Pituitary
